Дата;  1-кімнатна ; 2-кімнатна ; 3-кімнатна ; Курс долара 
13.05.16; 5 383,00 ? ; 7 992,00 ? ; 13 060,00 ? ; 25,45 ? 
14.05.16; 5 379,00 ? ; 7 982,00 ? ; 13 060,00 ? ; 25,45 ? 
15.05.16; 5 372,00 ? ; 7 972,00 ? ; 13 058,00 ? ; 25,45 ? 
16.05.16; 5 364,00 ? ; 7 963,00 ? ; 13 057,00 ? ; 25,39 ? 
17.05.16; 5 353,00 ? ; 7 953,00 ? ; 13 056,00 ? ; 25,27 ? 
18.05.16; 5 338,00 ? ; 7 943,00 ? ; 13 055,00 ? ; 25,26 ? 
19.05.16; 5 322,00 ? ; 7 934,00 ? ; 13 055,00 ? ; 25,26 ? 
20.05.16; 5 304,00 ? ; 7 926,00 ? ; 13 050,00 ? ; 25,20 ? 
21.05.16; 5 283,00 ? ; 7 916,00 ? ; 13 046,00 ? ; 25,20 ? 
22.05.16; 5 261,00 ? ; 7 904,00 ? ; 13 042,00 ? ; 25,20 ? 
23.05.16; 5 239,00 ? ; 7 893,00 ? ; 13 038,00 ? ; 25,12 ? 
24.05.16; 5 215,00 ? ; 7 880,00 ? ; 13 034,00 ? ; 25,13 ? 
25.05.16; 5 192,00 ? ; 7 866,00 ? ; 13 031,00 ? ; 25,11 ? 
26.05.16; 5 168,00 ? ; 7 852,00 ? ; 13 027,00 ? ; 25,10 ? 
27.05.16; 5 144,00 ? ; 7 836,00 ? ; 13 023,00 ? ; 25,14 ? 
28.05.16; 5 123,00 ? ; 7 820,00 ? ; 13 019,00 ? ; 25,14 ? 
29.05.16; 5 104,00 ? ; 7 805,00 ? ; 13 017,00 ? ; 25,14 ? 
30.05.16; 5 088,00 ? ; 7 791,00 ? ; 13 016,00 ? ; 25,17 ? 
31.05.16; 5 074,00 ? ; 7 779,00 ? ; 13 014,00 ? ; 25,14 ? 
01.06.16; 5 063,00 ? ; 7 770,00 ? ; 13 013,00 ? ; 25,10 ? 
02.06.16; 5 054,00 ? ; 7 763,00 ? ; 13 012,00 ? ; 25,05 ? 
03.06.16; 5 049,00 ? ; 7 759,00 ? ; 13 011,00 ? ; 25 
04.06.16; 5 046,00 ? ; 7 757,00 ? ; 13 012,00 ? ; 25 
05.06.16; 5 047,00 ? ; 7 757,00 ? ; 13 013,00 ? ; 25 
06.06.16; 5 050,00 ? ; 7 759,00 ? ; 13 012,00 ? ; 24,99 ? 
07.06.16; 5 053,00 ? ; 7 764,00 ? ; 13 011,00 ? ; 24,96 ? 
08.06.16; 5 058,00 ? ; 7 770,00 ? ; 13 010,00 ? ; 24,94 ? 
09.06.16; 5 064,00 ? ; 7 777,00 ? ; 13 007,00 ? ; 25 
10.06.16; 5 071,00 ? ; 7 785,00 ? ; 13 004,00 ? ; 25,02 ? 
11.06.16; 5 078,00 ? ; 7 794,00 ? ; 13 001,00 ? ; 25,02 ? 
12.06.16; 5 084,00 ? ; 7 804,00 ? ; 12 998,00 ? ; 25,02 ? 
13.06.16; 5 091,00 ? ; 7 814,00 ? ; 12 995,00 ? ; 24,97 ? 
14.06.16; 5 096,00 ? ; 7 823,00 ? ; 12 992,00 ? ; 24,91 ? 
15.06.16; 5 100,00 ? ; 7 830,00 ? ; 12 989,00 ? ; 24,89 ? 
16.06.16; 5 103,00 ? ; 7 835,00 ? ; 12 986,00 ? ; 24,90 ? 
17.06.16; 5 107,00 ? ; 7 838,00 ? ; 12 982,00 ? ; 24,91 ? 
18.06.16; 5 109,00 ? ; 7 840,00 ? ; 12 975,00 ? ; 24,91 ? 
19.06.16; 5 108,00 ? ; 7 840,00 ? ; 12 967,00 ? ; 24,91 ? 
20.06.16; 5 107,00 ? ; 7 839,00 ? ; 12 958,00 ? ; 24,91 ? 
21.06.16; 5 104,00 ? ; 7 838,00 ? ; 12 951,00 ? ; 24,89 ? 
22.06.16; 5 103,00 ? ; 7 836,00 ? ; 12 943,00 ? ; 24,90 ? 
23.06.16; 5 102,00 ? ; 7 835,00 ? ; 12 935,00 ? ; 24,88 ? 
24.06.16; 5 101,00 ? ; 7 835,00 ? ; 12 931,00 ? ; 24,87 ? 
25.06.16; 5 100,00 ? ; 7 836,00 ? ; 12 924,00 ? ; 24,87 ? 
26.06.16; 5 099,00 ? ; 7 839,00 ? ; 12 917,00 ? ; 24,87 ? 
27.06.16; 5 097,00 ? ; 7 843,00 ? ; 12 907,00 ? ; 24,87 ? 
28.06.16; 5 093,00 ? ; 7 846,00 ? ; 12 895,00 ? ; 24,87 ? 
29.06.16; 5 090,00 ? ; 7 850,00 ? ; 12 880,00 ? ; 24,85 ? 
30.06.16; 5 086,00 ? ; 7 856,00 ? ; 12 864,00 ? ; 24,85 ? 
01.07.16; 5 082,00 ? ; 7 863,00 ? ; 12 845,00 ? ;  
02.07.16; 5 077,00 ? ; 7 872,00 ? ; 12 826,00 ? ; 24,82 ? 
03.07.16; 5 073,00 ? ; 7 881,00 ? ; 12 809,00 ? ; 24,82 ? 
04.07.16;;;; 24,82 ? 
05.07.16; 5 069,00 ? ; 7 893,00 ? ; 12 793,00 ? ; 24,85 ? 
06.07.16; 5 067,00 ? ; 7 906,00 ? ; 12 776,00 ? ; 24,84 ? 
07.07.16; 5 063,00 ? ; 7 918,00 ? ; 12 756,00 ? ; 24,81 ? 
08.07.16; 5 058,00 ? ; 7 930,00 ? ; 12 734,00 ? ; 24,84 ? 
09.07.16; 5 051,00 ? ; 7 941,00 ? ; 12 709,00 ? ; 24,84 ? 
10.07.16; 5 044,00 ? ; 7 951,00 ? ; 12 681,00 ? ; 24,84 ? 
11.07.16; 5 038,00 ? ; 7 959,00 ? ; 12 655,00 ? ; 24,85 ? 
12.07.16; 5 032,00 ? ; 7 966,00 ? ; 12 628,00 ? ; 24,84 ? 
13.07.16; 5 027,00 ? ; 7 973,00 ? ; 12 603,00 ? ; 24,82 ? 
14.07.16; 5 023,00 ? ; 7 979,00 ? ; 12 581,00 ? ; 24,80 ? 
15.07.16; 5 019,00 ? ; 7 984,00 ? ; 12 561,00 ? ; 24,81 ? 
16.07.16; 5 017,00 ? ; 7 989,00 ? ; 12 544,00 ? ; 24,81 ? 
17.07.16; 5 015,00 ? ; 7 993,00 ? ; 12 530,00 ? ; 24,81 ? 
18.07.16; 5 015,00 ? ; 7 996,00 ? ; 12 516,00 ? ; 24,86 ? 
19.07.16; 5 015,00 ? ; 7 998,00 ? ; 12 502,00 ? ; 24,81 ? 
20.07.16; 5 016,00 ? ; 7 999,00 ? ; 12 488,00 ? ; 24,81 ? 
21.07.16; 5 018,00 ? ; 7 999,00 ? ; 12 477,00 ? ; 24,82 ? 
22.07.16; 5 020,00 ? ; 7 999,00 ? ; 12 468,00 ? ; 24,81 ? 
23.07.16; 5 025,00 ? ; 7 999,00 ? ; 12 462,00 ? ; 24,81 ? 
24.07.16; 5 030,00 ? ; 7 999,00 ? ; 12 458,00 ? ; 24,81 ? 
25.07.16; 5 037,00 ? ; 7 999,00 ? ; 12 454,00 ? ; 24,79 ? 
26.07.16; 5 045,00 ? ; 7 999,00 ? ; 12 452,00 ? ; 24,79 ? 
27.07.16; 5 054,00 ? ; 7 999,00 ? ; 12 450,00 ? ; 24,82 ? 
28.07.16; 5 063,00 ? ; 7 999,00 ? ; 12 448,00 ? ; 24,80 ? 
29.07.16; 5 074,00 ? ; 8 000,00 ? ; 12 446,00 ? ; 24,81 ? 
30.07.16; 5 085,00 ? ; 8 000,00 ? ; 12 440,00 ? ; 24,81 ? 
31.07.16; 5 097,00 ? ; 8 000,00 ? ; 12 434,00 ? ; 24,81 ? 
01.08.16; 5 108,00 ? ; 8 000,00 ? ; 12 427,00 ? ; 24,78 ? 
02.08.16; 5 119,00 ? ; 8 000,00 ? ; 12 421,00 ? ; 24,82 ? 
03.08.16; 5 132,00 ? ; 8 000,00 ? ; 12 414,00 ? ; 24,82 ? 
04.08.16; 5 146,00 ? ; 8 000,00 ? ; 12 408,00 ? ; 24,81 ? 
05.08.16; 5 160,00 ? ; 8 000,00 ? ; 12 402,00 ? ; 24,81 ? 
06.08.16; 5 176,00 ? ; 8 000,00 ? ; 12 397,00 ? ; 24,81 ? 
07.08.16; 5 193,00 ? ; 8 000,00 ? ; 12 393,00 ? ; 24,81 ? 
08.08.16; 5 210,00 ? ; 8 000,00 ? ; 12 390,00 ? ; 24,82 ? 
09.08.16; 5 228,00 ? ; 8 000,00 ? ; 12 391,00 ? ; 24,82 ? 
10.08.16; 5 245,00 ? ; 8 000,00 ? ; 12 393,00 ? ; 24,82 ? 
11.08.16; 5 262,00 ? ; 8 000,00 ? ; 12 397,00 ? ; 24,85 ? 
12.08.16; 5 280,00 ? ; 8 000,00 ? ; 12 403,00 ? ; 25,04 ? 
13.08.16; 5 297,00 ? ; 8 000,00 ? ; 12 413,00 ? ; 25,04 ? 
14.08.16; 5 314,00 ? ; 8 000,00 ? ; 12 427,00 ? ; 25,04 ? 
15.08.16; 5 333,00 ? ; 8 000,00 ? ; 12 444,00 ? ; 25,12 ? 
16.08.16; 5 353,00 ? ; 8 000,00 ? ; 12 462,00 ? ; 25,06 ? 
17.08.16; 5 374,00 ? ; 8 000,00 ? ; 12 482,00 ? ; 25,09 ? 
18.08.16; 5 394,00 ? ; 8 000,00 ? ; 12 506,00 ? ; 25,17 ? 
19.08.16; 5 413,00 ? ; 8 000,00 ? ; 12 532,00 ? ; 25,26 ? 
20.08.16; 5 431,00 ? ; 8 002,00 ? ; 12 559,00 ? ; 25,26 ? 
21.08.16; 5 447,00 ? ; 8 004,00 ? ; 12 587,00 ? ; 25,26 ? 
22.08.16; 5 463,00 ? ; 8 006,00 ? ; 12 616,00 ? ; 25,29 ? 
23.08.16; 5 478,00 ? ; 8 010,00 ? ; 12 645,00 ? ; 25,31 ? 
24.08.16; 5 491,00 ? ; 8 016,00 ? ; 12 673,00 ? ; 25,31 ? 
25.08.16; 5 503,00 ? ; 8 023,00 ? ; 12 701,00 ? ; 25,33 ? 
26.08.16; 5 514,00 ? ; 8 032,00 ? ; 12 728,00 ? ; 25,44 ? 
27.08.16; 5 526,00 ? ; 8 044,00 ? ; 12 757,00 ? ; 25,44 ? 
28.08.16; 5 537,00 ? ; 8 058,00 ? ; 12 787,00 ? ; 25,44 ? 
29.08.16; 5 547,00 ? ; 8 074,00 ? ; 12 816,00 ? ; 25,49 ? 
30.08.16; 5 557,00 ? ; 8 095,00 ? ; 12 847,00 ? ; 25,65 ? 
31.08.16; 5 565,00 ? ; 8 119,00 ? ; 12 881,00 ? ; 26,08 ? 
01.09.16; 5 570,00 ? ; 8 148,00 ? ; 12 918,00 ? ; 26,62 ? 
02.09.16; 5 573,00 ? ; 8 179,00 ? ; 12 954,00 ? ; 26,63 ? 
03.09.16; 5 576,00 ? ; 8 213,00 ? ; 12 988,00 ? ; 26,63 ? 
04.09.16; 5 577,00 ? ; 8 248,00 ? ; 13 020,00 ? ; 26,63 ? 
05.09.16; 5 577,00 ? ; 8 284,00 ? ; 13 051,00 ? ; 26,79 ? 
06.09.16; 5 576,00 ? ; 8 322,00 ? ; 13 080,00 ? ; 26,85 ? 
07.09.16; 5 575,00 ? ; 8 357,00 ? ; 13 108,00 ? ; 26,72 ? 
08.09.16; 5 574,00 ? ; 8 390,00 ? ; 13 134,00 ? ; 26,64 ? 
