Дата;Чисельність населення 
18.02.2017 0:00;2928193
19.02.2017 0:00;2928193
20.02.2017 0:00;2928193
21.02.2017 0:00;2928193
22.02.2017 0:00;2928193
23.02.2017 0:00;2928193
24.02.2017 0:00;2928193
25.02.2017 0:00;2928193
26.02.2017 0:00;2928193
27.02.2017 0:00;2928193
28.02.2017 0:00;2928193
01.03.2017 0:00;2928193
02.03.2017 0:00;2929029
03.03.2017 0:00;2929029
04.03.2017 0:00;2929029
05.03.2017 0:00;2929029
06.03.2017 0:00;2929029
07.03.2017 0:00;2929029
08.03.2017 0:00;2929029
09.03.2017 0:00;2929029
10.03.2017 0:00;2929029
11.03.2017 0:00;2929029
12.03.2017 0:00;2929029
13.03.2017 0:00;2929029
14.03.2017 0:00;2929029
15.03.2017 0:00;2929029
16.03.2017 0:00;2929029
17.03.2017 0:00;2929029
18.03.2017 0:00;2929029
19.03.2017 0:00;2929029
20.03.2017 0:00;2929029
21.03.2017 0:00;2929029
22.03.2017 0:00;2929029
23.03.2017 0:00;2929029
24.03.2017 0:00;2929029
25.03.2017 0:00;2929029
26.03.2017 0:00;2929029
27.03.2017 0:00;2929029
28.03.2017 0:00;2929029
29.03.2017 0:00;2929029
30.03.2017 0:00;2929029
31.03.2017 0:00;2929029
01.04.2017 0:00;2929029
02.04.2017 0:00;2927667
03.04.2017 0:00;2927667
04.04.2017 0:00;2927667
05.04.2017 0:00;2927667
06.04.2017 0:00;2927667
07.04.2017 0:00;2927667
08.04.2017 0:00;2927667
09.04.2017 0:00;2927667
10.04.2017 0:00;2927667
11.04.2017 0:00;2927667
12.04.2017 0:00;2927667
13.04.2017 0:00;2927667
14.04.2017 0:00;2927667
15.04.2017 0:00;2927667
16.04.2017 0:00;2927667
17.04.2017 0:00;2927667
18.04.2017 0:00;2927667
19.04.2017 0:00;2927667
20.04.2017 0:00;2927667
21.04.2017 0:00;2927667
22.04.2017 0:00;2927667
23.04.2017 0:00;2927667
24.04.2017 0:00;2927667
25.04.2017 0:00;2927667
26.04.2017 0:00;2927667
27.04.2017 0:00;2927667
28.04.2017 0:00;2927667
29.04.2017 0:00;2927667
30.04.2017 0:00;2927667
01.05.2017 0:00;2927667
02.05.2017 0:00;2928177
03.05.2017 0:00;2928177
04.05.2017 0:00;2928177
05.05.2017 0:00;2928177
06.05.2017 0:00;2928177
07.05.2017 0:00;2928177
