"Показник","Територіальний розріз","Періодичність","Період","Значення cпостереження"
"Коефіцієнт життєвості","Київ","Місячна","2007-M04","83"
"Коефіцієнт життєвості","Київ","Місячна","2007-M05","82"
"Коефіцієнт життєвості","Київ","Місячна","2007-M06","85"
"Коефіцієнт життєвості","Київ","Місячна","2007-M07","89"
"Коефіцієнт життєвості","Київ","Місячна","2007-M08","90"
"Коефіцієнт життєвості","Київ","Місячна","2007-M09","91"
"Коефіцієнт життєвості","Київ","Місячна","2007-M10","91"
"Коефіцієнт життєвості","Київ","Місячна","2007-M11","92"
"Коефіцієнт життєвості","Київ","Місячна","2007-M12","91"
"Коефіцієнт життєвості","Київ","Місячна","2008-M01","89"
"Коефіцієнт життєвості","Київ","Місячна","2008-M02","97"
"Коефіцієнт життєвості","Київ","Місячна","2008-M03","95"
"Коефіцієнт життєвості","Київ","Місячна","2008-M04","95"
"Коефіцієнт життєвості","Київ","Місячна","2008-M05","97"
"Коефіцієнт життєвості","Київ","Місячна","2008-M06","98"
"Коефіцієнт життєвості","Київ","Місячна","2008-M07","101"
"Коефіцієнт життєвості","Київ","Місячна","2008-M08","103"
"Коефіцієнт життєвості","Київ","Місячна","2008-M09","104"
"Коефіцієнт життєвості","Київ","Місячна","2008-M10","106"
"Коефіцієнт життєвості","Київ","Місячна","2008-M11","106"
"Коефіцієнт життєвості","Київ","Місячна","2008-M12","106"
"Коефіцієнт життєвості","Київ","Місячна","2009-M01","102"
"Коефіцієнт життєвості","Київ","Місячна","2009-M02","108"
"Коефіцієнт життєвості","Київ","Місячна","2009-M03","106"
"Коефіцієнт життєвості","Київ","Місячна","2009-M04","106"
"Коефіцієнт життєвості","Київ","Місячна","2009-M05","109"
"Коефіцієнт життєвості","Київ","Місячна","2009-M06","108"
"Коефіцієнт життєвості","Київ","Місячна","2009-M07","112"
"Коефіцієнт життєвості","Київ","Місячна","2009-M08","113"
"Коефіцієнт життєвості","Київ","Місячна","2009-M09","115"
"Коефіцієнт життєвості","Київ","Місячна","2009-M10","116"
"Коефіцієнт життєвості","Київ","Місячна","2009-M11","115"
"Коефіцієнт життєвості","Київ","Місячна","2009-M12","115"
"Коефіцієнт життєвості","Київ","Місячна","2010-M01","97"
"Коефіцієнт життєвості","Київ","Місячна","2010-M02","103"
"Коефіцієнт життєвості","Київ","Місячна","2010-M03","105"
"Коефіцієнт життєвості","Київ","Місячна","2010-M04","107"
"Коефіцієнт життєвості","Київ","Місячна","2010-M05","107"
"Коефіцієнт життєвості","Київ","Місячна","2010-M06","109"
"Коефіцієнт життєвості","Київ","Місячна","2010-M07","112"
"Коефіцієнт життєвості","Київ","Місячна","2010-M08","109"
"Коефіцієнт життєвості","Київ","Місячна","2010-M09","111"
"Коефіцієнт життєвості","Київ","Місячна","2010-M10","111"
"Коефіцієнт життєвості","Київ","Місячна","2010-M11","112"
"Коефіцієнт життєвості","Київ","Місячна","2010-M12","112"
"Коефіцієнт життєвості","Київ","Місячна","2011-M01","105"
"Коефіцієнт життєвості","Київ","Місячна","2011-M02","113"
"Коефіцієнт життєвості","Київ","Місячна","2011-M03","112"
"Коефіцієнт життєвості","Київ","Місячна","2011-M04","109"
"Коефіцієнт життєвості","Київ","Місячна","2011-M05","107"
"Коефіцієнт життєвості","Київ","Місячна","2011-M06","107"
"Коефіцієнт життєвості","Київ","Місячна","2011-M07","112"
"Коефіцієнт життєвості","Київ","Місячна","2011-M08","115"
"Коефіцієнт життєвості","Київ","Місячна","2011-M09","118"
"Коефіцієнт життєвості","Київ","Місячна","2011-M10","117"
"Коефіцієнт життєвості","Київ","Місячна","2011-M11","119"
"Коефіцієнт життєвості","Київ","Місячна","2011-M12","119"
"Коефіцієнт життєвості","Київ","Місячна","2012-M01","104"
"Коефіцієнт життєвості","Київ","Місячна","2012-M02","111"
"Коефіцієнт життєвості","Київ","Місячна","2012-M03","111"
"Коефіцієнт життєвості","Київ","Місячна","2012-M04","110"
"Коефіцієнт життєвості","Київ","Місячна","2012-M05","112"
"Коефіцієнт життєвості","Київ","Місячна","2012-M06","114"
"Коефіцієнт життєвості","Київ","Місячна","2012-M07","118"
"Коефіцієнт життєвості","Київ","Місячна","2012-M08","120"
"Коефіцієнт життєвості","Київ","Місячна","2012-M09","122"
"Коефіцієнт життєвості","Київ","Місячна","2012-M10","123"
"Коефіцієнт життєвості","Київ","Місячна","2012-M11","123"
"Коефіцієнт життєвості","Київ","Місячна","2012-M12","122"
"Коефіцієнт життєвості","Київ","Місячна","2013-M01","105"
"Коефіцієнт життєвості","Київ","Місячна","2013-M02","108"
"Коефіцієнт життєвості","Київ","Місячна","2013-M03","106"
"Коефіцієнт життєвості","Київ","Місячна","2013-M04","108"
"Коефіцієнт життєвості","Київ","Місячна","2013-M05","108"
"Коефіцієнт життєвості","Київ","Місячна","2013-M06","110"
"Коефіцієнт життєвості","Київ","Місячна","2013-M07","116"
"Коефіцієнт життєвості","Київ","Місячна","2013-M08","118"
"Коефіцієнт життєвості","Київ","Місячна","2013-M09","118"
"Коефіцієнт життєвості","Київ","Місячна","2013-M10","119"
"Коефіцієнт життєвості","Київ","Місячна","2013-M11","120"
"Коефіцієнт життєвості","Київ","Місячна","2013-M12","119"
"Коефіцієнт життєвості","Київ","Місячна","2014-M01","109"
"Коефіцієнт життєвості","Київ","Місячна","2014-M02","107"
"Коефіцієнт життєвості","Київ","Місячна","2014-M03","107"
"Коефіцієнт життєвості","Київ","Місячна","2014-M04","109"
"Коефіцієнт життєвості","Київ","Місячна","2014-M05","110"
"Коефіцієнт життєвості","Київ","Місячна","2014-M06","112"
"Коефіцієнт життєвості","Київ","Місячна","2014-M07","116"
"Коефіцієнт життєвості","Київ","Місячна","2014-M08","117"
"Коефіцієнт життєвості","Київ","Місячна","2014-M09","118"
"Коефіцієнт життєвості","Київ","Місячна","2014-M10","119"
"Коефіцієнт життєвості","Київ","Місячна","2014-M11","117"
"Коефіцієнт життєвості","Київ","Місячна","2014-M12","116"
"Коефіцієнт життєвості","Київ","Місячна","2015-M01","98"
"Коефіцієнт життєвості","Київ","Місячна","2015-M02","100"
"Коефіцієнт життєвості","Київ","Місячна","2015-M03","100"
"Коефіцієнт життєвості","Київ","Місячна","2015-M04","102"
"Коефіцієнт життєвості","Київ","Місячна","2015-M05","103"
"Коефіцієнт життєвості","Київ","Місячна","2015-M06","105"
"Коефіцієнт життєвості","Київ","Місячна","2015-M07","111"
"Коефіцієнт життєвості","Київ","Місячна","2015-M08","114"
"Коефіцієнт життєвості","Київ","Місячна","2015-M09","116"
"Коефіцієнт життєвості","Київ","Місячна","2015-M10","117"
"Коефіцієнт життєвості","Київ","Місячна","2015-M11","117"
"Коефіцієнт життєвості","Київ","Місячна","2015-M12","117"
"Коефіцієнт життєвості","Київ","Місячна","2016-M01","99"
"Коефіцієнт життєвості","Київ","Місячна","2016-M02","107"
"Коефіцієнт життєвості","Київ","Місячна","2016-M03","113"
"Коефіцієнт життєвості","Київ","Місячна","2016-M04","112"
"Коефіцієнт життєвості","Київ","Місячна","2016-M05","112"
"Коефіцієнт життєвості","Київ","Місячна","2016-M06","112"
"Коефіцієнт життєвості","Київ","Місячна","2016-M07","116"
"Коефіцієнт життєвості","Київ","Місячна","2016-M08","119"
"Коефіцієнт життєвості","Київ","Місячна","2016-M09","121"
"Коефіцієнт життєвості","Київ","Місячна","2016-M10","120"
"Коефіцієнт життєвості","Київ","Місячна","2016-M11","120"
"Коефіцієнт життєвості","Київ","Місячна","2016-M12","119"
"Коефіцієнт життєвості","Київ","Місячна","2017-M01","96"
"Коефіцієнт життєвості","Київ","Місячна","2017-M02","102"
"Коефіцієнт життєвості","Київ","Місячна","2017-M03","107"
"Коефіцієнт життєвості","Київ","Місячна","2017-M04","105"
"Коефіцієнт життєвості","Київ","Місячна","2017-M05","106"
"Коефіцієнт життєвості","Київ","Місячна","2017-M06","109"
"Коефіцієнт життєвості","Київ","Місячна","2017-M07","111"
"Коефіцієнт життєвості","Київ","Місячна","2017-M08","114"
"Коефіцієнт життєвості","Київ","Місячна","2017-M09","115"
"Коефіцієнт життєвості","Київ","Місячна","2017-M10","115"
"Коефіцієнт життєвості","Київ","Місячна","2017-M11","115"
"Коефіцієнт життєвості","Київ","Місячна","2017-M12","115"
"Коефіцієнт життєвості","Київ","Місячна","2018-M01","100"
"Коефіцієнт життєвості","Київ","Місячна","2018-M02","103"
"Коефіцієнт життєвості","Київ","Місячна","2018-M03","103"
"Коефіцієнт життєвості","Київ","Місячна","2018-M04","102"
"Коефіцієнт життєвості","Київ","Місячна","2018-M05","103"
"Коефіцієнт життєвості","Київ","Місячна","2018-M06","106"
"Коефіцієнт життєвості","Київ","Місячна","2018-M07","108"
"Коефіцієнт життєвості","Київ","Місячна","2018-M08","110"
"Коефіцієнт життєвості","Київ","Місячна","2018-M09","111"
"Коефіцієнт життєвості","Київ","Місячна","2018-M10","110"
"Коефіцієнт життєвості","Київ","Місячна","2018-M11","110"
"Коефіцієнт життєвості","Київ","Місячна","2018-M12","107"
"Коефіцієнт життєвості","Київ","Місячна","2019-M01","82"
"Коефіцієнт життєвості","Київ","Місячна","2019-M02","89"
"Коефіцієнт життєвості","Київ","Місячна","2019-M03","93"
"Коефіцієнт життєвості","Київ","Місячна","2019-M04","92"
"Коефіцієнт життєвості","Київ","Місячна","2019-M05","94"
"Коефіцієнт життєвості","Київ","Місячна","2019-M06","93"
"Коефіцієнт життєвості","Київ","Місячна","2019-M07","95"
"Коефіцієнт життєвості","Київ","Місячна","2019-M08","98"
"Коефіцієнт життєвості","Київ","Місячна","2019-M09","99"
"Коефіцієнт життєвості","Київ","Місячна","2019-M10","99"
"Коефіцієнт життєвості","Київ","Місячна","2019-M11","99"
"Коефіцієнт життєвості","Київ","Місячна","2019-M12","98"
"Коефіцієнт життєвості","Київ","Місячна","2020-M01","99"
"Коефіцієнт життєвості","Київ","Місячна","2020-M02","95"
"Коефіцієнт життєвості","Київ","Місячна","2020-M03","88"
"Коефіцієнт життєвості","Київ","Місячна","2020-M04","86"
"Коефіцієнт життєвості","Київ","Місячна","2020-M05","89"
"Коефіцієнт життєвості","Київ","Місячна","2020-M06","88"
"Коефіцієнт життєвості","Київ","Місячна","2020-M07","93"
"Коефіцієнт життєвості","Київ","Місячна","2020-M08","95"
"Коефіцієнт життєвості","Київ","Місячна","2020-M09","95"
"Коефіцієнт життєвості","Київ","Місячна","2020-M10","92"
"Коефіцієнт життєвості","Київ","Місячна","2020-M11","88"
"Коефіцієнт життєвості","Київ","Місячна","2020-M12","85"
"Коефіцієнт життєвості","Київ","Місячна","2021-M01","64"
"Коефіцієнт життєвості","Київ","Місячна","2021-M02","66"
"Коефіцієнт життєвості","Київ","Місячна","2021-M03","63"
"Коефіцієнт життєвості","Київ","Місячна","2021-M04","60"
"Коефіцієнт життєвості","Київ","Місячна","2021-M05","60"
"Коефіцієнт життєвості","Київ","Місячна","2021-M06","63"
"Коефіцієнт життєвості","Київ","Місячна","2021-M07","67"
"Коефіцієнт життєвості","Київ","Місячна","2021-M08","69"
"Коефіцієнт життєвості","Київ","Місячна","2021-M09","71"
"Коефіцієнт життєвості","Київ","Місячна","2021-M10","69"
"Коефіцієнт життєвості","Київ","Місячна","2021-M11","66"
"Коефіцієнт життєвості","Київ","Місячна","2021-M12","65"
